3;Gegenzauber;Level 3 Bannmagie;1 Reaktion, die du ausführst, wenn du siehst, wie eine Kreatur in60 feetdeiner Nähe einen Zauber mit verbalen, somatischen oder materiellen Komponenten wirkt;18 m;G;Unmittelbar;Du versuchst, eine Kreatur zu stören, während sie einen Zauber wirkt. Die Kreatur führt einen CON-Rettungswurf durch. Bei einem misslungenen Rettungswurf löst sich der Zauber wirkungslos auf, und die Aktion, Bonus Aktion oder Reaktion, die zu seiner Wirkung verwendet wurde, ist verschwendet. Wurde dieser Zauber mit einem Zauberslot gewirkt, wird der Slot nicht verbraucht.;Zauberer, Hexenmeister, Magier;
3;Lebensmittel und Wasser bereitstellen;Level 3 Beschwörung;1 Aktion;9 m;V, G;Unmittelbar;"Du erzeugst 45 Pfund Nahrung und 30 Gallonen frisches Wasser auf dem Boden oder in Behältern in Reichweite - beides hilft dir, den Gefahren von Unterernährung und Dehydrierung zu entgehen. Die Nahrung ist zwar fade, aber nahrhaft und sieht aus wie ein Gericht deiner Wahl; das Wasser ist sauber. Die Nahrung verdirbt nach 24 Stunden, wenn sie nicht verzehrt wird.";Artificer, Kleriker, Paladin;
3;Der Mantel des Kreuzritters;Level 3 Hervorrufung;1 Aktion;Selbst;V;Konzentration, bis zu 1 min;In einer30-footEmanation strahlst du eine magische Aura aus. Befinden sich Verbündete in dieser Aura, verursachen sie jeweils zusätzlichen1d4Strahlungsschaden, wenn sie mit einer Waffe oder einem waffenlosen Angriff treffen.;Paladin;
3;Tageslicht;Level 3 Hervorrufung;1 Aktion;18 m;V, G;1 h;"Während der Wirkungsdauer breitet sich das Sonnenlicht von einem Punkt innerhalb der Reichweite aus und füllt eine Kugel mit dem60-foot Radius S. Der Bereich des Sonnenlichts gilt als „helles Licht"" und wirft zusätzlich „schwaches Licht"" über eine weitere Entfernung von 18 m.<br><br>Alternativ kannst du den Zauber auf einen Gegenstand wirken, der weder getragen noch mitgeführt wird, wodurch das Sonnenlicht eine von diesem Gegenstand60-foot ausgehende Ausstrahlung erfüllt. Wenn du diesen Gegenstand mit etwas Undurchsichtigem, wie beispielsweise einer Schale oder einem Helm, bedeckst, wird das Sonnenlicht abgeblockt.<br><br>Wenn sich ein Teil des Wirkungsbereichs dieses Zaubers mit dem Wirkungsbereich eines durch einen Zauber der Stufe 3 oder niedriger erzeugten Dunkelheitsbereichs überschneidet, wird dieser andere Zauber gebannt.";Kleriker, Druide, Paladin, Waldläufer, Zauberer;
3;Magie bannen;Level 3 Bannmagie;1 Aktion;36 m;V, G;Unmittelbar;Wähle ein Lebewesen, einen Gegenstand oder einen magischen Effekt in Reichweite. Alle auf das Ziel wirkenden Zauber der Stufe 3 oder niedriger enden. Führe für jeden auf das Ziel wirkenden Zauber der Stufe 4 oder höher einen Fähigkeitswurf mit deiner Zauberfertigkeit (DC 10zuzüglich der Stufe des Zaubers) durch. Bei einem erfolgreichen Wurf endet der Zauber.<br><br><b>Auf höheren Level gewirkt:</b>Du beendest einen Zauber auf das Ziel automatisch, wenn die Stufe des Zaubers gleich oder niedriger ist als die Stufe des von dir verwendeten Zauberslots.;Artificer, Barde, Kleriker, Druide, Paladin, Waldläufer, Zauberer, Hexenmeister, Magier;
3;Elementarwaffe;Level 3 Verwandlungsmagie;1 Aktion;Berührung;V, G;Konzentration, bis zu 1 h;Eine nichtmagische Waffe, die du berührst, wird zu einer magischen Waffe. Wähle eine der folgenden Schadensarten: Säure, Kälte, Feuer, Blitz oder Donner. Für die Dauer erhält die Waffe einen Bonus von +1 auf Angriffswürfe und verursacht bei einem Treffer zusätzlichen1d4Schaden der gewählten Art.<br><br><b>Auf höheren Level gewirkt:</b>Wenn du einen Zauberslot der Stufen 5-6 verwendest, erhöht sich der Bonus auf Angriffswürfe auf +2 und der zusätzliche Schaden auf 2W4. Wenn du einen Zauberslot der Stufe 7+ verwendest, erhöht sich der Bonus auf +3 und der zusätzliche Schaden auf 3W4.;Artificer, Druide, Paladin, Waldläufer;
3;Mann;Level 3 Illusionsmagie;1 Aktion;Selbst;V, G, M;Konzentration, bis zu 1 min;"(eine weiße Feder) Jedes Wesen im Wirkungsbereich30-footdes Zaubers muss einen WIS-Rettungswurf bestehen, sonst lässt es alles fallen, was es gerade in den Händen hält, und erhält für die Dauer des Zaubers den Zustand „Verängstigt"".<br><br>Eine verängstigte Kreatur führt in jedem ihrer Züge die Aktion „Ausweichen"" aus und bewegt sich auf dem sichersten Weg von dir weg, es sei denn, sie kann sich nirgendwohin bewegen. Beendet die Kreatur ihren Zug auf einem Feld, von dem aus sie keine Sichtverbindung zu dir hat, führt sie einen WIS-Rettungswurf durch. Bei einem erfolgreichen Rettungswurf endet der Zauber für diese Kreatur.";Barde, Zauberer, Hexenmeister, Magier;
3;Sich tot stellen;Level 3 Nekromantie;1 Aktion or Ritual;Berührung;V, G, M;1 h;"(eine Prise Friedhofserde) Du berührst ein williges Wesen und versetzt es in einen kataleptischen Zustand, der vom Tod nicht zu unterscheiden ist.<br><br>Während der Dauer erscheint das Ziel nach äußerem Anschein und bei Zaubersprüchen, die den Status des Ziels ermitteln, als tot. Das Ziel befindet sich in den Zuständen „Geblendet"" und „Handlungsunfähig"", und seine Bewegungsgeschwindigkeit beträgt 0.<br><br>Das Ziel verfügt außerdem über Widerstand gegen jeglichen Schaden außer Psischaden und ist immun gegen den Zustand „Vergiftet"".";Barde, Kleriker, Druide, Magier;
3;Feuerball;Level 3 Hervorrufung;1 Aktion;45 m;V, G, M;Unmittelbar;"(ein Klumpen aus Fledermauskot und Schwefel) Ein heller Lichtstrahl schießt von dir zu einem Punkt deiner Wahl innerhalb der Reichweite und entfaltet sich mit einem leisen Dröhnen zu einer feurigen Explosion. Jede Kreatur in einer Kugel mit dem20-foot Radius S, deren Mittelpunkt dieser Punkt ist, muss einen Geschicklichkeitsrettungswurf durchführen; bei einem misslungenen Rettungswurf erleidet sie8d6Feuerschaden, bei einem erfolgreichen Rettungswurf nur die Hälfte des Schadens.<br><br>Entzündliche Gegenstände in der Umgebung, die nicht getragen oder mitgeführt werden, fangen Feuer.<br><br><b>Auf höheren Level gewirkt:</b>Der Schaden erhöht sich um1d6 pro Zauberslot-Stufe über 3.";Zauberer, Magier;
3;Flug;Level 3 Verwandlungsmagie;1 Aktion;Berührung;V, G, M;Konzentration, bis zu 10 min;(eine Feder) Du berührst ein williges Wesen. Für die Dauer des Zaubers erhält das Ziel eine Fluggeschwindigkeit von60 feet und kann in der Luft schweben. Wenn der Zauber endet, fällt das Ziel, sofern es sich noch in der Luft befindet, es sei denn, es kann den Fall aufhalten.<br><br><b>Auf höheren Level gewirkt:</b>Du kannst für jede Zauberstufe über 3 eine weitere Kreatur als Ziel wählen.;Artificer, Zauberer, Hexenmeister, Magier;
3;Gasförmig;Level 3 Verwandlungsmagie;1 Aktion;Berührung;V, G, M;Konzentration, bis zu 1 h;"(ein Stück Gaze) Ein williges Wesen, das du berührst, verwandelt sich - zusammen mit allem, was es trägt oder bei sich hat - für die Dauer des Zaubers in eine neblige Wolke. Der Zauber endet für das Ziel, wenn dessen TP auf 0 sinken oder wenn es eine magische Aktion ausführt, um den Zauber auf sich selbst zu beenden.<br><br>In dieser Gestalt kann sich das Ziel nur mit einer Fluggeschwindigkeit von bewegen 10 feetund in der Luft schweben. Das Ziel kann den Platz einer anderen Kreatur einnehmen. Das Ziel verfügt über Widerstand gegen Schlag-, Stich- und Schnittschaden; es ist immun gegen den Zustand „am Boden liegend"" und erhält Vorteil bei Rettungswürfen auf Stärke, Geschicklichkeit und Konstitution. Das Ziel kann durch enge Öffnungen hindurchgehen, behandelt Flüssigkeiten jedoch wie feste Oberflächen.<br><br>Das Ziel kann weder sprechen noch Gegenstände bewegen, und Gegenstände, die es bei sich trug oder in der Hand hielt, können nicht fallen gelassen, benutzt oder auf andere Weise manipuliert werden. Schließlich kann das Ziel weder angreifen noch Zauber wirken.<br><br><b>Auf höheren Level gewirkt:</b>Du kannst für jede Zauberstufe über 3 eine weitere Kreatur als Ziel wählen.";Zauberer, Hexenmeister, Magier;
3;Glyphe der Abwehr;Level 3 Bannmagie;1 h;Berührung;V, G, M;Until dispelled or triggered;"(Diamantpulver im Wert von 200+ GP, das der Zauber verbraucht) Du ritzst ein Symbol ein, das später eine magische Wirkung entfaltet. Du bringst sie entweder auf einer Oberfläche (wie einem Tisch oder einem Teil des Bodens) oder in einem verschließbaren Gegenstand (wie einem Buch oder einer Truhe) an, um das Symbol zu verbergen. Das Symbol kann einen Bereich mit einem Durchmesser10 feet von höchstens abdecken. Wenn die Oberfläche oder der Gegenstand mehr als10 feet von dem Ort entfernt wird, an dem du diesen Zauber gewirkt hast, wird das Symbol zerstört und der Zauber endet, ohne ausgelöst zu werden.<br><br>Das Zeichen ist kaum wahrnehmbar und kann nur erkannt werden, wenn ein erfolgreicher Weisheitswurf (Wahrnehmung) gegen deinen Zauber-Rettungswurf-SG gelingt.<br><br>Wenn du die Glyphe einritzt, legst du ihren Auslöser fest und entscheidest, ob es sich um eine explosive Rune oder eine Zauberglyphe handelt, wie im Folgenden erläutert wird.<br><br>Lege den Auslöser fest. Du entscheidest, was das Glyph auslöst, wenn du den Zauber wirkst. Bei Glyphen, die auf eine Oberfläche eingraviert sind, sind häufige Auslöser das Berühren oder Betreten des Glyphs, das Entfernen eines anderen Objekts, das es bedeckt, oder das Herannahen auf eine bestimmte Entfernung. Bei Glyphen, die in ein Objekt eingraviert sind, sind häufige Auslöser das Öffnen dieses Objekts oder das Erblicken des Glyphs. Sobald ein Glyph ausgelöst wurde, endet dieser Zauber.<br><br>Du kannst den Auslöser so anpassen, dass er nur bei Kreaturen bestimmter Arten ausgelöst wird (die Glyphe könnte beispielsweise so eingestellt werden, dass sie nur auf Aberrationen wirkt). Du kannst auch Bedingungen festlegen, unter denen Kreaturen den Auslöser nicht auslösen, beispielsweise wenn sie ein bestimmtes Passwort sagen.<br><br>Explosionsrune. Bei Auslösung bricht die Rune in einer Kugel mit einem20-foot Radius von [R] um ihren Mittelpunkt herum in magischer Energie aus. Jede Kreatur in diesem Bereich muss einen Geschicklichkeitsrettungswurf durchführen. Bei einem misslungenen Rettungswurf erleidet die 5d8Kreatur Säure-, Kälte-, Feuer-, Blitz- oder Donnerschaden (nach deiner Wahl beim Erstellen der Rune); bei einem erfolgreichen Rettungswurf erleidet sie nur die Hälfte dieses Schadens.<br><br>Zauber-Glyphe. Du kannst einen vorbereiteten Zauber der Stufe 3 oder niedriger in der Glyphe speichern, indem du ihn als Teil der Erstellung der Glyphe wirkst. Der Zauber muss auf eine einzelne Kreatur oder einen Bereich gerichtet sein. Der gespeicherte Zauber entfaltet keine unmittelbare Wirkung, wenn er auf diese Weise gewirkt wird.<br><br>Wenn das Symbol ausgelöst wird, wird der gespeicherte Zauber wirksam. Hat der Zauber ein Ziel, richtet er sich gegen die Kreatur, die das Symbol ausgelöst hat. Wirkt der Zauber auf einen Bereich, wird dieser Bereich um diese Kreatur herum zentriert. Beschwört der Zauber feindliche Kreaturen oder erzeugt er schädliche Objekte oder Fallen, erscheinen diese so nah wie möglich am Eindringling und greifen ihn an. Erfordert der Zauber Konzentration, hält er bis zum Ende seiner vollen Wirkungsdauer an.<br><br><b>Auf höheren Level gewirkt:</b>Der Schaden einer explosiven Rune erhöht sich um1d8 pro Zauberslotstufe über Stufe 3. Wenn du eine Zauberglyphe erschaffst, kannst du jeden Zauber speichern, dessen Stufe der des Zauberslots entspricht, den du für die Glyphe der Abwehr verwendest.";Artificer, Barde, Kleriker, Magier;
3;Los geht's;Level 3 Verwandlungsmagie;1 Aktion;9 m;V, G, M;Konzentration, bis zu 1 min;"(eine Scheibe Süßholzwurzel) Wähle ein williges Wesen, das du in Reichweite sehen kannst. Bis das Zauberwirken endet, verdoppelt sich die Geschwindigkeit des Ziels, es erhält einen Bonus von +2 auf seine Rüstungsklasse, es hat Vorteil bei Geschicklichkeitsrettungswürfen und erhält in jedem seiner Züge eine zusätzliche Aktion. Diese Aktion darf nur für die Aktionen „Angriff"" (nur ein Angriff), „Sprinten"", „Lösen"", „Verstecken"" oder „Nutzen"" verwendet werden.<br><br>Wenn der Zauber endet, ist das Ziel handlungsunfähig und hat bis zum Ende seines nächsten Zuges eine Geschwindigkeit von 0, da eine Welle der Lethargie über es hinwegrollt.";Artificer, Zauberer, Magier;
3;Der Hunger von Hadar;Level 3 Beschwörung;1 Aktion;45 m;V, G, M;Konzentration, bis zu 1 min;"(ein eingelegtes Tentakel) Du öffnest ein Tor zum Fernen Reich, einer Region, die von unaussprechlichen Schrecken heimgesucht wird. Es erscheint eine Sphäre der Dunkelheit mit einem20-foot Radius von A, deren Mittelpunkt an einem Punkt mit einer Reichweite von liegt und die für die Dauer anhält. Die Sphäre gilt als schwieriges Gelände und ist erfüllt von seltsamen Flüstern und schlürfenden Geräuschen, die bis zu30 feet entfernt zu hören sind. Kein Licht, weder magisches noch sonstiges, kann den Bereich erhellen, und Kreaturen, die sich vollständig darin befinden, erhalten den Zustand „Geblendet"".<br><br>Jede Kreatur, die ihren Zug in diesem Bereich beginnt, erleidet2d6 Kälteschaden. Jede Kreatur, die ihren Zug dort beendet, muss einen DEX-Rettungswurf bestehen oder erleidet2d6 Säureschaden durch übernatürliche Tentakel.<br><br><b>Auf höheren Level gewirkt:</b>Der Kälte- oder Säureschaden (nach Wahl) erhöht sich um1d6 pro Zauberslot-Stufe über 3.";Hexenmeister;
3;Hypnotisches Muster;Level 3 Illusionsmagie;1 Aktion;36 m;G, M;Konzentration, bis zu 1 min;"(eine Prise Konfetti) Du erzeugst in einem30-footWürfel innerhalb der Reichweite ein sich windendes Farbmuster. Das Muster erscheint für einen Moment und verschwindet dann wieder. Jede Kreatur in diesem Bereich, die das Muster sehen kann, muss einen WIS-Rettungswurf bestehen, sonst erhält sie für die Dauer den Zustand „Verzaubert"". Solange sie verzaubert ist, hat die Kreatur den Zustand „Handlungsunfähig"" und eine Bewegungsgeschwindigkeit von 0.<br><br>Der Zauber endet für eine betroffene Kreatur, wenn sie Schaden erleidet oder wenn jemand anderes eine Aktion einsetzt, um die Kreatur aus ihrer Benommenheit zu reißen.";Barde, Zauberer, Hexenmeister, Magier;
3;Leomunds kleine Hütte;Level 3 Hervorrufung;1 min oder Ritual;Selbst;V, G, M;8 h;(eine Kristallperle) Eine10-footEmanation entsteht um dich herum und bleibt für die Dauer des Zaubers bestehen. Der Zauber schlägt fehl, wenn du ihn wirkst und die Emanation nicht groß genug ist, um alle Wesen in ihrem Wirkungsbereich vollständig einzuschließen.<br><br>Wesen und Gegenstände, die sich zum Zeitpunkt des Zauberspruchs innerhalb der Emanation befinden, können sich frei durch sie hindurchbewegen. Allen anderen Wesen und Gegenständen ist der Durchgang verwehrt. Zaubersprüche der Stufe 3 oder niedriger können nicht durch sie hindurch gewirkt werden, und die Wirkungen solcher Zaubersprüche reichen nicht in sie hinein.<br><br>Die Atmosphäre im Inneren der Emanation ist angenehm und trocken, unabhängig vom Wetter draußen. Bis der Zauber endet, kannst du bestimmen, dass im Inneren gedämpftes Licht oder Dunkelheit herrscht (keine Aktion erforderlich). Von außen ist die Emanation undurchsichtig und hat eine Farbe deiner Wahl, von innen ist sie jedoch durchsichtig.<br><br>Der Zauber endet vorzeitig, wenn du die Emanation verlässt oder ihn erneut wirkst.;Barde, Magier;
3;Blitzpfeil;Level 3 Verwandlungsmagie;1 Bonus Aktion, die du unmittelbar nach einem Treffer oder einem Fehlschlag mit einem Fernkampfangriff mit einer Waffe ausführst;Selbst;V, G;Unmittelbar;Je nachdem, ob dein Angriff das Ziel trifft oder verfehlt, verwandelt sich die von dir verwendete Waffe oder Munition in einen Blitz. Anstatt Schaden oder andere Auswirkungen des Angriffs zu erleiden, erleidet das Ziel bei einem4d8 Treffer Blitzschaden oder bei einem Fehlschlag die Hälfte dieses Schadens. Jede Kreatur im10 feetUmkreis von um das Ziel führt daraufhin einen Geschicklichkeitsrettungswurf durch und erleidet bei einem 2d8misslungenen Rettungswurf Blitzschaden oder bei einem erfolgreichen Rettungswurf die Hälfte dieses Schadens.<br><br>Die Waffe oder die Munition nimmt dann wieder ihre normale Form an.<br><br><b>Auf höheren Level gewirkt:</b>Der Schaden beider Effekte des Zaubers erhöht sich um1d8 pro Zauberslot-Stufe über 3.;Waldläufer;
3;Blitz;Level 3 Hervorrufung;1 Aktion;Selbst;V, G, M;Unmittelbar;"(ein bisschen Fell und ein Kristallstab) Ein Blitz, der eine 30 m-lange, 1,5 m-breite Linie bildet, schießt von dir aus in eine Richtung deiner Wahl. Jedes Wesen in dieser Linie muss einen DEX-Rettungswurf durchführen; bei einem misslungenen Rettungswurf erleidet es8d6Blitzschaden, bei einem erfolgreichen Rettungswurf nur die Hälfte dieses Schadens.<br><br><b>Auf höheren Level gewirkt:</b>Der Schaden erhöht sich um1d6 pro Zauberslot-Stufe über 3.";Zauberer, Magier;
